1,5,-8,8.50
1,6,-7,8.75
1,7,-7,8.50
1,8,-7,8.75
1,9,-7,8.75
1,10,-18,8.75
1,11,-17,9.00
1,12,-37,8.00
1,13,-17,9.00
1,14,-17,9.00
1,15,-36,8.25
1,16,-17,8.75
1,17,-17,9.00
1,18,-38,8.25
1,19,-17,9.25
1,20,-38,8.50
1,21,-38,8.50
1,22,-17,8.75
1,23,-18,8.75
1,24,-17,9.25
1,27,-38,8.25
1,27,-38,8.25
1,28,-38,8.25
1,29,-18,9.25
1,30,-18,9.00
1,31,-17,9.25
1,32,-38,8.25
1,33,-18,9.50
1,35,-37,8.25
1,36,-18,9.00
1,37,-18,8.75
1,38,-17,9.00
1,39,-18,9.00
1,40,-18,9.00
1,41,-38,8.50
1,42,-18,9.00
1,43,-18,9.25
1,44,-39,8.50
1,45,-17,9.00
1,46,-18,5.75
1,48,-25,-3.75
1,4 ,-17,-4.75
1y60,-37,-6.50
1/3%,-17,-6.25
1,52,-36,0.25
1,53,-19,-5.25
1,54,-37,0.50
 ,55,-38,-6.50
2 <6,-17,-5.25
; 9#,-38,-6.00
; 9#,-38,-6.00
1,58,-18,9.00
1,59,-16,-3.75
1,30,-17,-4.75
1,64,-38,8.00
1,65,-18,3.00
1,67,-24,4.50
1,68,-18,8.50
1,69,-17,9.00
1,70,-2,8.50
1,71,-2,9.50
1,72,-2,9.00
1,73,-2,9.00
1,74,-2,9.00
1,75,-2,9.50
1,76,-2,8.75
1,77,-2,9.00
1,78,-2,10.00
1,79,-2,9.50
1,80,-2,8.75
1,81,-2,9.25
1,82,-2,9.25
1,82,-2,9.25
1,83,-2,9.00
1,84,-2,9.25
1,85,1,8.25
1,86,-2,9.25
1,87,1,8.25
1,88,1,8.00
1,89,-2,8.75
1,90,-2,9.25
1,91,-2,8.75
1,92,-2,9.25
1,93,-2,9.25
1,94,0,8.25
1,95,-2,9.00
1,96,-2,9.25
1,97,-20,9.50
1,97,-20,9.50
1,98,-28,9.00
1,99,-52,8.75
1,101,-59,8.75
1,102,-67,8.75
1,103,-70,8.50
1,104,-59,9.25
1,105,-65,9.50
1,106,-56,9.50
1,107,-61,9.00
1,108,-63,9.50
1,109,-63,9.25
1,110,-60,9.25
1,111,-61,9.25
1,112,-62,8.75
1,113,-65,9.50
1,114,-59,9.25
1,115,-61,9.00
1,116,-66,8.50
1,117,-65,9.00
1,118,-60,8.75
1,119,-63,9.25
1,120,-63,9.25
