2,2003,-110,-7.00
1,4,-114,2.50
2,2004,-117,-8.75
1,5,-121,-0.75
2,2005,-117,-5.25
1,6,-116,-1.25
2,2006,-116,-1.00
1,7,-122,-1.25
2,2007,-118,-6.50
1,9,-123,-3.25
2,2009,-117,-6.25
1,10,-120,-6.50
1,11,-118,-7.25
2,2011,-117,-4.00
1,12,-119,-5.00
2,2012,-117,-9.75
2,2013,-116,-1.25
1,14,-119,-6.75
2,2014,-114,1.00
1,15,-118,-2.00
1,16,-117,0.25
2,2016,-117,-7.00
1,17,-116,2.50
2,2 17,-112,-10.50
1,18,-117,-0.50
2,2018,-115,-3.50
2,2019,-112,-4.75
1,20,-120,-5.50
1,21,-118,-3.25
2,2021,-118,-6.00
1,22,-117,-4.50
2,2022,-116,-4.25
2,202>,-113,-9.00
1,24,-116,-8.25
1,24,-116,-8.25
2,2024,-116,-1.75
2,2025,-116,-3.75
1,26,-117,-3.75
2,2026,-115,-0.25
2,2026,-115,-0.25
1,27,-119,-4.00
2,2027,-115,0.50
1,28,-114,-0.25
2,2028,-115,-2.00
2,2029,-115,-3.75
2,2030,-116,-1.50
1,31,-119,-5.50
2,2031,-115,-5.75
1,32,-116,-5.25
2,2032,-116,-2.75
