id,counter,RSSI,SNR
1,5,-8,8.50
1,6,-7,8.75
1,7,-7,8.50
1,8,-7,8.75
1,9,-7,8.75
1,10,-18,8.75
1,11,-17,9.00
1,12,-37,8.00
1,13,-17,9.00
1,14,-17,9.00
1,15,-36,8.25
1,16,-17,8.75
1,17,-17,9.00
1,18,-38,8.25
1,19,-17,9.25
1,20,-38,8.50
1,21,-38,8.50
1,22,-17,8.75
1,23,-18,8.75
1,24,-17,9.25
1,27,-38,8.25
1,27,-38,8.25
1,28,-38,8.25
1,29,-18,9.25
1,30,-18,9.00
1,31,-17,9.25
1,32,-38,8.25
1,33,-18,9.50
1,35,-37,8.25
1,36,-18,9.00
1,37,-18,8.75
1,38,-17,9.00
1,39,-18,9.00
1,40,-18,9.00
1,41,-38,8.50
1,42,-18,9.00
1,43,-18,9.25
1,44,-39,8.50
1,45,-17,9.00
1,46,-18,5.75
1,48,-25,-3.75
1,4,-17,-4.75
1,52,-36,0.25
1,53,-19,-5.25
1,54,-37,0.50
1,58,-18,9.00
1,59,-16,-3.75
1,30,-17,-4.75
1,64,-38,8.00
1,65,-18,3.00
1,67,-24,4.50
1,68,-18,8.50
1,69,-17,9.00
1,70,-2,8.50
1,71,-2,9.50
1,72,-2,9.00
1,73,-2,9.00
1,74,-2,9.00
1,75,-2,9.50
1,76,-2,8.75
1,77,-2,9.00
1,78,-2,10.00
1,79,-2,9.50
1,80,-2,8.75
1,81,-2,9.25
1,82,-2,9.25
1,82,-2,9.25
1,83,-2,9.00
1,84,-2,9.25
1,85,1,8.25
1,86,-2,9.25
1,87,1,8.25
1,88,1,8.00
1,89,-2,8.75
1,90,-2,9.25
1,91,-2,8.75
1,92,-2,9.25
1,93,-2,9.25
1,94,0,8.25
1,95,-2,9.00
1,96,-2,9.25
1,97,-20,9.50
1,97,-20,9.50
1,98,-28,9.00
1,99,-52,8.75
1,101,-59,8.75
1,102,-67,8.75
1,103,-70,8.50
1,104,-59,9.25
1,105,-65,9.50
1,106,-56,9.50
1,107,-61,9.00
1,108,-63,9.50
1,109,-63,9.25
1,110,-60,9.25
1,111,-61,9.25
1,112,-62,8.75
1,113,-65,9.50
1,114,-59,9.25
1,115,-61,9.00
1,116,-66,8.50
1,117,-65,9.00
1,118,-60,8.75
1,119,-63,9.25
1,120,-63,9.25
1,121,-68,9.00
1,122,-73,9.00
1,123,-62,9.50
1,124,-60,8.75
1,125,-63,9.25
1,126,-61,9.50
1,127,-59,9.00
1,128,-67,9.25
1,129,-53,8.50
1,130,-53,9.00
1,131,-64,9.50
1,132,-59,8.75
1,133,-59,9.25
1,134,-68,9.25
1,135,-61,8.75
1,136,-66,8.75
1,137,-72,8.50
1,138,-73,8.75
1,139,-73,9.25
1,140,-68,9.75
1,141,-73,9.25
1,141,-73,9.25
1,142,-65,9.25
1,143,-69,9.25
1,144,-79,9.75
1,145,-69,8.75
1,146,-69,9.00
1,147,-71,8.50
1,148,-61,8.50
1,149,-62,8.75
1,150,-66,10.00
1,151,-64,9.50
1,152,-65,9.50
1,153,-69,9.50
1,154,-66,9.50
1,155,-66,10.00
1,156,-65,9.25
1,157,-65,9.50
1,158,-63,8.50
1,159,-65,9.75
1,160,-65,9.75
1,161,-66,9.25
1,161,-66,9.25
1,162,-62,8.75
1,163,-66,9.50
1,164,-64,9.25
1,165,-64,9.25
1,166,-64,9.50
1,167,-69,9.25
1,168,-64,9.25
1,169,-64,9.25
1,170,-65,9.75
1,171,-55,9.50
1,172,-66,9.25
1,174,-58,9.75
1,174,-58,9.75
1,175,-64,10.25
1,176,-66,9.75
1,177,-70,9.00
1,178,-85,9.75
1,179,-78,9.25
1,180,-60,9.50
1,181,-86,8.25
1,182,-61,8.75
1,183,-70,9.25
1,0,-70,8.50
1,1,-71,8.50
1,2,-70,8.50
1,3,-78,8.25
1,4,-78,8.75
1,5,-81,8.75
1,6,-74,8.50
1,7,-75,8.75
1,7,-75,8.75
1,8,-73,8.25
1,9,-76,8.50
1,10,-64,9.25
1,11,-69,9.00
1,12,-68,8.50
1,13,-71,9.25
1,14,-67,9.25
1,15,-77,9.50
1,16,-75,9.25
1,17,-73,8.75
1,18,-63,8.75
1,19,-64,9.25
1,20,-65,9.00
1,20,-65,9.00
1,21,-69,9.25
1,22,-65,9.00
1,23,-65,9.00
1,24,-63,8.75
1,25,-67,9.50
1,26,-66,9.25
1,27,-64,9.00
1,28,-69,9.25
1,29,-68,9.00
1,30,-69,9.00
1,31,-72,9.50
1,32,-71,9.00
1,33,-69,9.25
1,34,-73,8.75
1,35,-83,9.00
1,36,-78,8.50
1,37,-75,9.00
1,38,-96,9.00
1,39,-72,9.25
1,40,-75,9.00
1,41,-71,9.25
1,42,-70,8.75
1,43,-70,9.25
